1,Lexis Visum Focus Glasses,Kids,1,196,146.41,https://lexisvisum.com/images/product_1.jpg
2,Lexis Visum AI Glasses,Essential,2,226,868.08,https://lexisvisum.com/images/product_2.jpg
3,Lexis Visum Study Glasses,Edu,1,54,384.59,https://lexisvisum.com/images/product_3.jpg
4,Lexis Visum Mobile Reader,Kids,3,132,839.06,https://lexisvisum.com/images/product_4.jpg
5,Lexis Visum Travel Case,Edu,3,160,896.32,https://lexisvisum.com/images/product_5.jpg
6,Lexis Visum Vision Engine,Edu,1,118,348.92,https://lexisvisum.com/images/product_6.jpg
7,Lexis Visum Mini OCR Hub,Pro,3,191,199.08,https://lexisvisum.com/images/product_7.jpg
8,Lexis Visum AI Glasses,Pro,2,28,593.62,https://lexisvisum.com/images/product_8.jpg
9,Lexis Visum Mobile Reader,Edu,3,165,389.86,https://lexisvisum.com/images/product_9.jpg
10,Lexis Visum Carry Case,Edu,1,235,274.33,https://lexisvisum.com/images/product_10.jpg
11,Lexis Visum Smart Glasses,Kids,1,28,446.56,https://lexisvisum.com/images/product_11.jpg
12,Lexis Visum Reading Glasses,Pro,3,184,807.98,https://lexisvisum.com/images/product_12.jpg
13,Lexis Visum Travel Case,Edu,2,82,709.71,https://lexisvisum.com/images/product_13.jpg
14,Lexis Visum Mini OCR Hub,Essential,2,209,181.63,https://lexisvisum.com/images/product_14.jpg
15,Lexis Visum Reading Glasses,Kids,3,214,796.12,https://lexisvisum.com/images/product_15.jpg
16,Lexis Visum Learning Glasses,Kids,2,112,497.71,https://lexisvisum.com/images/product_16.jpg
17,Lexis Visum Text Reader,Essential,1,244,189.06,https://lexisvisum.com/images/product_17.jpg
18,Lexis Visum Charging Dock,Kids,1,103,367.1,https://lexisvisum.com/images/product_18.jpg
19,Lexis Visum Extra Battery,Pro,3,228,836.56,https://lexisvisum.com/images/product_19.jpg
20,Lexis Visum Travel Case,Edu,3,267,274.77,https://lexisvisum.com/images/product_20.jpg
21,Lexis Visum Pro Vision,Kids,3,39,490.92,https://lexisvisum.com/images/product_21.jpg
22,Lexis Visum Travel Case,Kids,1,285,373.74,https://lexisvisum.com/images/product_22.jpg
23,Lexis Visum Focus Glasses,Essential,1,280,896.13,https://lexisvisum.com/images/product_23.jpg
24,Lexis Visum Reading Glasses,Pro,1,97,723,https://lexisvisum.com/images/product_24.jpg
25,Lexis Visum Classroom Glasses,Kids,1,157,759.92,https://lexisvisum.com/images/product_25.jpg
26,Lexis Visum Charging Dock,Edu,1,124,62.58,https://lexisvisum.com/images/product_26.jpg
27,Lexis Visum Text Reader,Kids,3,80,657.48,https://lexisvisum.com/images/product_27.jpg
28,Lexis Visum Charging Dock,Pro,3,278,314.04,https://lexisvisum.com/images/product_28.jpg
29,Lexis Visum Pro Vision,Pro,1,188,239.55,https://lexisvisum.com/images/product_29.jpg
30,Lexis Visum Vision Assist,Kids,3,228,721.63,https://lexisvisum.com/images/product_30.jpg
31,Lexis Visum Study Glasses,Kids,2,121,662.77,https://lexisvisum.com/images/product_31.jpg
32,Lexis Visum Pocket Processor,Kids,1,174,362.92,https://lexisvisum.com/images/product_32.jpg
33,Lexis Visum Smart Glasses,Pro,2,206,465.97,https://lexisvisum.com/images/product_33.jpg
34,Lexis Visum Processing Unit,Edu,3,29,404.99,https://lexisvisum.com/images/product_34.jpg
35,Lexis Visum Vision Assist,Edu,2,201,585,https://lexisvisum.com/images/product_35.jpg
36,Lexis Visum Vision Engine,Edu,3,90,288.73,https://lexisvisum.com/images/product_36.jpg
37,Lexis Visum Vision Assist,Essential,1,121,116.14,https://lexisvisum.com/images/product_37.jpg
38,Lexis Visum Travel Case,Pro,2,117,221.74,https://lexisvisum.com/images/product_38.jpg
39,Lexis Visum Processing Unit,Edu,3,169,786,https://lexisvisum.com/images/product_39.jpg
40,Lexis Visum Pro Vision,Edu,1,164,844.64,https://lexisvisum.com/images/product_40.jpg
41,Lexis Visum Vision Engine,Edu,2,216,684.69,https://lexisvisum.com/images/product_41.jpg
42,Lexis Visum Extra Battery,Kids,2,298,193.66,https://lexisvisum.com/images/product_42.jpg
43,Lexis Visum Charging Dock,Kids,3,48,95.52,https://lexisvisum.com/images/product_43.jpg
44,Lexis Visum Travel Case,Edu,2,70,846.7,https://lexisvisum.com/images/product_44.jpg
45,Lexis Visum Mobile Reader,Pro,1,274,258.71,https://lexisvisum.com/images/product_45.jpg
46,Lexis Visum Vision Assist,Essential,1,98,483.44,https://lexisvisum.com/images/product_46.jpg
47,Lexis Visum Learning Glasses,Edu,1,100,743.28,https://lexisvisum.com/images/product_47.jpg
48,Lexis Visum Extra Battery,Kids,3,69,309.2,https://lexisvisum.com/images/product_48.jpg
49,Lexis Visum Extra Battery,Kids,3,25,658.75,https://lexisvisum.com/images/product_49.jpg
50,Lexis Visum Study Glasses,Essential,2,172,558.68,https://lexisvisum.com/images/product_50.jpg
