Lexis Visum Pocket Processor,Unidad port‡til que procesa OCR y funciones de inteligencia artificial.,Essential,2,59,373.09,https://lexisvisum.com/images/product_1.jpg
Lexis Visum Carry Case,Estuche compacto ideal para almacenar y llevar tus gafas inteligentes.,Pro,1,132,723.83,https://lexisvisum.com/images/product_2.jpg
Lexis Visum Mini OCR Hub,Unidad externa que mejora el rendimiento de las funciones de asistencia visual.,Kids,3,195,707.46,https://lexisvisum.com/images/product_3.jpg
Lexis Visum Processing Unit,Unidad port‡til que procesa OCR y funciones de inteligencia artificial.,Essential,1,232,403.44,https://lexisvisum.com/images/product_4.jpg
Lexis Visum Extra Battery,Bater’a compacta que mejora la autonom’a de los dispositivos Lexis Visum.,Kids,2,244,300.66,https://lexisvisum.com/images/product_5.jpg
Lexis Visum Mobile Reader,Dispositivo wearable dise–ado para facilitar la lectura mediante reconocimiento —ptico de texto.,Essential,3,36,316.93,https://lexisvisum.com/images/product_6.jpg
Lexis Visum Pocket Processor,Unidad port‡til que procesa OCR y funciones de inteligencia artificial.,Edu,3,265,177.48,https://lexisvisum.com/images/product_7.jpg
Lexis Visum Extra Battery,Fuente de energ’a adicional para sesiones prolongadas de uso.,Edu,1,23,430.85,https://lexisvisum.com/images/product_8.jpg
Lexis Visum Extra Battery,Bater’a compacta que mejora la autonom’a de los dispositivos Lexis Visum.,Edu,1,30,468.52,https://lexisvisum.com/images/product_9.jpg
Lexis Visum Extra Battery,Bater’a port‡til dise–ada para alimentar accesorios y gafas inteligentes.,Essential,3,18,88.05,https://lexisvisum.com/images/product_10.jpg
Lexis Visum Charging Dock,Base de carga dise–ada para recargar las gafas de forma r‡pida y segura.,Edu,2,284,340.65,https://lexisvisum.com/images/product_11.jpg
Lexis Visum AI Glasses,Gafas inteligentes creadas para mejorar la comprensi—n de lectura con ayuda de IA.,Essential,1,58,208.53,https://lexisvisum.com/images/product_12.jpg
Lexis Visum Mini OCR Hub,M—dulo tecnol—gico que ejecuta el reconocimiento de texto y an‡lisis inteligente.,Pro,3,247,418.93,https://lexisvisum.com/images/product_13.jpg
Lexis Visum Text Reader,Herramienta tecnol—gica que apoya la lectura y comprensi—n mediante inteligencia artificial.,Edu,3,288,409.65,https://lexisvisum.com/images/product_14.jpg
Lexis Visum Extra Battery,Bater’a compacta que mejora la autonom’a de los dispositivos Lexis Visum.,Kids,2,90,730.7,https://lexisvisum.com/images/product_15.jpg
Lexis Visum Mobile Reader,Gafas inteligentes creadas para mejorar la comprensi—n de lectura con ayuda de IA.,Edu,3,256,745.27,https://lexisvisum.com/images/product_16.jpg
Lexis Visum Extra Battery,Bater’a externa de alta capacidad para extender el tiempo de uso del dispositivo.,Essential,2,220,416.63,https://lexisvisum.com/images/product_17.jpg
Lexis Visum Mini OCR Hub,Unidad externa que mejora el rendimiento de las funciones de asistencia visual.,Kids,2,267,589.33,https://lexisvisum.com/images/product_18.jpg
Lexis Visum Protective Case,Funda resistente que protege las gafas inteligentes contra golpes y rayones.,Essential,1,36,666.43,https://lexisvisum.com/images/product_19.jpg
Lexis Visum Processing Unit,Dispositivo de procesamiento que potencia las capacidades de lectura del sistema.,Edu,2,254,414.6,https://lexisvisum.com/images/product_20.jpg
Lexis Visum Smart Glasses,Gafas tecnol—gicas que ayudan a interpretar texto impreso o digital de forma inmediata.,Kids,3,223,770.56,https://lexisvisum.com/images/product_21.jpg
Lexis Visum Travel Case,Funda resistente que protege las gafas inteligentes contra golpes y rayones.,Edu,2,30,607.05,https://lexisvisum.com/images/product_22.jpg
Lexis Visum Mobile Reader,Gafas inteligentes creadas para mejorar la comprensi—n de lectura con ayuda de IA.,Kids,3,181,604.58,https://lexisvisum.com/images/product_23.jpg
Lexis Visum Carry Case,Estuche protector dise–ado para transportar y guardar de forma segura las gafas Lexis Visum.,Essential,3,21,818.66,https://lexisvisum.com/images/product_24.jpg
Lexis Visum Vision Assist,Soluci—n port‡til que transforma texto f’sico en informaci—n comprensible al instante.,Pro,3,175,80.56,https://lexisvisum.com/images/product_25.jpg
Lexis Visum Protective Case,Protecci—n port‡til para mantener seguras las gafas durante el transporte.,Essential,3,180,729.98,https://lexisvisum.com/images/product_26.jpg
Lexis Visum Travel Case,Protecci—n port‡til para mantener seguras las gafas durante el transporte.,Essential,1,90,197.99,https://lexisvisum.com/images/product_27.jpg
Lexis Visum Vision Assist,Gafas tecnol—gicas que ayudan a interpretar texto impreso o digital de forma inmediata.,Essential,1,59,150.62,https://lexisvisum.com/images/product_28.jpg
Lexis Visum Reading Glasses,Gafas inteligentes con OCR e inteligencia artificial que leen y analizan texto en tiempo real.,Essential,3,82,621.24,https://lexisvisum.com/images/product_29.jpg
Lexis Visum Vision Engine,M—dulo tecnol—gico que ejecuta el reconocimiento de texto y an‡lisis inteligente.,Essential,1,293,699.42,https://lexisvisum.com/images/product_30.jpg
Lexis Visum Processing Unit,M—dulo tecnol—gico que ejecuta el reconocimiento de texto y an‡lisis inteligente.,Essential,3,57,330.42,https://lexisvisum.com/images/product_31.jpg
Lexis Visum Smart Glasses,Gafas tecnol—gicas que ayudan a interpretar texto impreso o digital de forma inmediata.,Essential,3,77,783.31,https://lexisvisum.com/images/product_32.jpg
Lexis Visum Focus Glasses,Gafas inteligentes con OCR e inteligencia artificial que leen y analizan texto en tiempo real.,Kids,2,63,802.8,https://lexisvisum.com/images/product_33.jpg
Lexis Visum Charging Dock,Estaci—n de carga que permite mantener el dispositivo siempre listo para usar.,Essential,2,192,109.41,https://lexisvisum.com/images/product_34.jpg
Lexis Visum Classroom Glasses,Dispositivo wearable dise–ado para facilitar la lectura mediante reconocimiento —ptico de texto.,Essential,2,18,746.58,https://lexisvisum.com/images/product_35.jpg
Lexis Visum Smart Glasses,Equipo de asistencia visual que detecta y procesa texto en tiempo real.,Edu,3,229,87.8,https://lexisvisum.com/images/product_36.jpg
Lexis Visum Pro Vision,Gafas tecnol—gicas que ayudan a interpretar texto impreso o digital de forma inmediata.,Essential,2,162,679.8,https://lexisvisum.com/images/product_37.jpg
Lexis Visum Charging Dock,Estaci—n de carga que permite mantener el dispositivo siempre listo para usar.,Essential,3,46,417.09,https://lexisvisum.com/images/product_38.jpg
Lexis Visum Study Glasses,Equipo de asistencia visual que detecta y procesa texto en tiempo real.,Essential,1,261,803.23,https://lexisvisum.com/images/product_39.jpg
Lexis Visum Mini OCR Hub,Unidad port‡til que procesa OCR y funciones de inteligencia artificial.,Pro,1,224,547.67,https://lexisvisum.com/images/product_40.jpg
Lexis Visum Classroom Glasses,Gafas tecnol—gicas que ayudan a interpretar texto impreso o digital de forma inmediata.,Pro,1,232,243.55,https://lexisvisum.com/images/product_41.jpg
Lexis Visum Pocket Processor,M—dulo tecnol—gico que ejecuta el reconocimiento de texto y an‡lisis inteligente.,Pro,3,82,131.72,https://lexisvisum.com/images/product_42.jpg
Lexis Visum Vision Engine,Dispositivo de procesamiento que potencia las capacidades de lectura del sistema.,Pro,2,147,462.44,https://lexisvisum.com/images/product_43.jpg
Lexis Visum Mobile Reader,Equipo de asistencia visual que detecta y procesa texto en tiempo real.,Edu,2,260,486.11,https://lexisvisum.com/images/product_44.jpg
Lexis Visum Mobile Reader,Dispositivo wearable dise–ado para facilitar la lectura mediante reconocimiento —ptico de texto.,Pro,1,68,645.42,https://lexisvisum.com/images/product_45.jpg
Lexis Visum Smart Glasses,Dispositivo wearable dise–ado para facilitar la lectura mediante reconocimiento —ptico de texto.,Kids,3,266,710.45,https://lexisvisum.com/images/product_46.jpg
Lexis Visum Smart Glasses,Herramienta tecnol—gica que apoya la lectura y comprensi—n mediante inteligencia artificial.,Edu,1,181,106.98,https://lexisvisum.com/images/product_47.jpg
Lexis Visum Extra Battery,Bater’a externa de alta capacidad para extender el tiempo de uso del dispositivo.,Edu,2,111,763.36,https://lexisvisum.com/images/product_48.jpg
Lexis Visum Vision Engine,Dispositivo de procesamiento que potencia las capacidades de lectura del sistema.,Kids,2,96,294.55,https://lexisvisum.com/images/product_49.jpg
Lexis Visum Study Glasses,Dispositivo wearable dise–ado para facilitar la lectura mediante reconocimiento —ptico de texto.,Essential,1,236,282.1,https://lexisvisum.com/images/product_50.jpg
