Lexis Visum Travel Case,Edu,2,199,21.85,https://lexisvisum.com/images/product_1.jpg
Lexis Visum Pocket Processor,Edu,3,240,363.27,https://lexisvisum.com/images/product_2.jpg
Lexis Visum Lens Cleaning Kit,Edu,2,199,79.83,https://lexisvisum.com/images/product_3.jpg
Lexis Visum Classroom Vision Glasses,Essential,1,219,520.32,https://lexisvisum.com/images/product_4.jpg
Lexis Visum Pro Smart Glasses,Kids,1,193,673.83,https://lexisvisum.com/images/product_5.jpg
Lexis Visum Extra Battery,Essential,2,119,55.92,https://lexisvisum.com/images/product_6.jpg
Lexis Visum Extra Battery,Essential,2,177,73.62,https://lexisvisum.com/images/product_7.jpg
Lexis Visum Vision Assist Glasses,Essential,1,13,603.58,https://lexisvisum.com/images/product_8.jpg
Lexis Visum Vision Engine,Essential,3,129,354.18,https://lexisvisum.com/images/product_9.jpg
Lexis Visum Kids Smart Glasses,Pro,1,204,442.88,https://lexisvisum.com/images/product_10.jpg
Lexis Visum Magnetic Charger,Essential,2,174,21.42,https://lexisvisum.com/images/product_11.jpg
Lexis Visum Pro Smart Glasses,Edu,1,24,508.32,https://lexisvisum.com/images/product_12.jpg
Lexis Visum Kids Smart Glasses,Kids,1,215,701.31,https://lexisvisum.com/images/product_13.jpg
Lexis Visum Protective Case,Edu,2,63,82.61,https://lexisvisum.com/images/product_14.jpg
Lexis Visum AI Processing Module,Essential,3,144,150.39,https://lexisvisum.com/images/product_15.jpg
Lexis Visum AI Processing Module,Kids,3,143,327.79,https://lexisvisum.com/images/product_16.jpg
Lexis Visum Edu Smart Glasses,Kids,1,27,503.41,https://lexisvisum.com/images/product_17.jpg
Lexis Visum Magnetic Charger,Edu,2,30,53.18,https://lexisvisum.com/images/product_18.jpg
Lexis Visum Lens Cleaning Kit,Kids,2,34,123.98,https://lexisvisum.com/images/product_19.jpg
Lexis Visum Protective Case,Essential,2,22,86.48,https://lexisvisum.com/images/product_20.jpg
Lexis Visum Portable Compute Hub,Edu,3,202,283.31,https://lexisvisum.com/images/product_21.jpg
Lexis Visum Mobile Reader Unit,Kids,3,88,309.5,https://lexisvisum.com/images/product_22.jpg
Lexis Visum Magnetic Charger,Edu,2,247,21.12,https://lexisvisum.com/images/product_23.jpg
Lexis Visum Extra Battery,Essential,2,57,76.84,https://lexisvisum.com/images/product_24.jpg
Lexis Visum Travel Case,Essential,2,247,78.81,https://lexisvisum.com/images/product_25.jpg
Lexis Visum AI Processing Module,Edu,3,85,288.25,https://lexisvisum.com/images/product_26.jpg
Lexis Visum Study Smart Glasses,Edu,1,73,418.3,https://lexisvisum.com/images/product_27.jpg
Lexis Visum Pro Smart Glasses,Essential,1,210,642.55,https://lexisvisum.com/images/product_28.jpg
Lexis Visum Pocket Processor,Essential,3,171,194.41,https://lexisvisum.com/images/product_29.jpg
Lexis Visum Portable Compute Hub,Kids,3,188,199.52,https://lexisvisum.com/images/product_30.jpg
Lexis Visum AI Processing Module,Essential,3,110,344.94,https://lexisvisum.com/images/product_31.jpg
Lexis Visum Carry Case,Essential,2,162,38.71,https://lexisvisum.com/images/product_32.jpg
Lexis Visum Essential Smart Glasses,Essential,1,224,723.12,https://lexisvisum.com/images/product_33.jpg
Lexis Visum Classroom Vision Glasses,Essential,1,49,885.04,https://lexisvisum.com/images/product_34.jpg
Lexis Visum Extra Battery,Essential,2,203,35.53,https://lexisvisum.com/images/product_35.jpg
Lexis Visum Magnetic Charger,Essential,2,192,44.99,https://lexisvisum.com/images/product_36.jpg
Lexis Visum Edu Smart Glasses,Essential,1,83,895.9,https://lexisvisum.com/images/product_37.jpg
Lexis Visum Edu Smart Glasses,Kids,1,40,709.68,https://lexisvisum.com/images/product_38.jpg
Lexis Visum Focus Reading Glasses,Essential,1,151,815.73,https://lexisvisum.com/images/product_39.jpg
Lexis Visum Essential Smart Glasses,Pro,1,31,535.86,https://lexisvisum.com/images/product_40.jpg
Lexis Visum Study Smart Glasses,Essential,1,170,845.12,https://lexisvisum.com/images/product_41.jpg
Lexis Visum Essential Smart Glasses,Pro,1,166,863.03,https://lexisvisum.com/images/product_42.jpg
Lexis Visum Magnetic Charger,Kids,2,56,90.79,https://lexisvisum.com/images/product_43.jpg
Lexis Visum AI Processing Module,Kids,3,244,331.72,https://lexisvisum.com/images/product_44.jpg
Lexis Visum Mobile Reader Unit,Edu,3,49,361.61,https://lexisvisum.com/images/product_45.jpg
Lexis Visum Pocket Processor,Edu,3,104,171.44,https://lexisvisum.com/images/product_46.jpg
Lexis Visum Pro Smart Glasses,Pro,1,177,707.03,https://lexisvisum.com/images/product_47.jpg
Lexis Visum Lens Cleaning Kit,Edu,2,246,103.16,https://lexisvisum.com/images/product_48.jpg
Lexis Visum Protective Case,Pro,2,13,91.9,https://lexisvisum.com/images/product_49.jpg
Lexis Visum Charging Dock,Pro,2,119,90.3,https://lexisvisum.com/images/product_50.jpg
